player,draft_year,OVERALL_PICK,ROUND,SELECTION,HEIGHT,WEIGHT,draft_pick_bucket_ordinal,is_round1_pick,is_top10_pick,target_600yd_receiving_within_2yrs,best_receiving_yards_within_window,games_in_best_receiving_season_within_window,first_600yd_receiving_year,college_seasons_played,first_breakout_season_index,early_breakout_flag,final_team_target_share,final_top_teammate_target_share,final_season_with_dominant_teammate,model_prob_600yd_within_2yrs,draft_prior_prob,prob_600yd_within_2yrs,draft_blend_weight,predicted_600yd_within_2yrs
Bub Means,2024.0,170.0,5.0,35.0,,,7.0,0,0,0,118.0,7.0,,3,1.0,1,0.23976608187134502,0.21637426900584794,1,0.1721840689806459,0.0638953990378685,0.14511190149495157,0.25,0
Luke McCaffrey,2024.0,100.0,3.0,36.0,,,5.0,0,0,0,203.0,9.0,,4,3.0,0,0.2955665024630542,0.14039408866995073,0,0.10858107365682494,0.235982250907624,0.1404313679695247,0.25,0
Javon Baker,2024.0,110.0,4.0,10.0,,,6.0,0,0,0,12.0,10.0,,4,3.0,0,0.24561403508771928,0.22514619883040934,1,0.11832680226737306,0.173773987206823,0.13218859850223555,0.25,0
Devontez Walker,2024.0,113.0,4.0,13.0,,,6.0,0,0,0,136.0,11.0,,3,2.0,1,0.15639810426540285,0.15876777251184834,0,0.10673685583041069,0.173773987206823,0.12349613867451376,0.25,0
Jha'Quan Jackson,2024.0,182.0,6.0,6.0,,,7.0,0,0,0,8.0,12.0,,5,4.0,0,0.12320916905444126,0.19484240687679083,0,0.10101681231181191,0.0638953990378685,0.09173645899332605,0.25,0
Anthony Gould,2024.0,142.0,5.0,7.0,,,6.0,0,0,0,23.0,8.0,,4,3.0,0,0.20057306590257878,0.24641833810888253,1,0.03502131581295054,0.173773987206823,0.06970948366141866,0.25,0
Tahj Washington,2024.0,241.0,7.0,21.0,,,7.0,0,0,0,37.0,6.0,,5,2.0,1,0.17370892018779344,0.1643192488262911,0,0.06621253560986248,0.0638953990378685,0.065633251466864,0.25,0
Johnny Wilson,2024.0,185.0,6.0,9.0,,,7.0,0,0,0,38.0,16.0,,4,3.0,0,0.17114914425427874,0.21271393643031786,1,0.06006752842014972,0.0638953990378685,0.06102449607457942,0.25,0
Casey Washington,2024.0,187.0,6.0,11.0,,,7.0,0,0,0,94.0,7.0,,5,,0,0.19437340153452684,0.3248081841432225,1,0.05202658479849125,0.0638953990378685,0.054993788358335564,0.25,0
Tejhaun Palmer,2024.0,191.0,6.0,15.0,,,7.0,0,0,0,0.0,1.0,,3,2.0,1,0.16,0.1675,0,0.03635453042592597,0.0638953990378685,0.04323974757891161,0.25,0
Brenden Rice,2024.0,225.0,7.0,5.0,,,7.0,0,0,0,0.0,1.0,,4,4.0,0,0.1643192488262911,0.17370892018779344,1,0.029808631663356313,0.0638953990378685,0.03833032350698436,0.25,0
Devaughn Vele,2024.0,235.0,7.0,15.0,,,7.0,0,0,0,475.0,13.0,,5,,0,0.23178807947019867,0.19205298013245034,0,0.02816479659209676,0.0638953990378685,0.0370974472035397,0.25,0
Cornelius Johnson,2024.0,253.0,7.0,33.0,,,7.0,0,0,0,0.0,0.0,,5,2.0,1,0.18803418803418803,0.1908831908831909,0,0.02701859910518944,0.0638953990378685,0.03623779908835921,0.25,0
Jordan Whittington,2024.0,213.0,6.0,37.0,,,7.0,0,0,0,293.0,15.0,,5,3.0,0,0.12359550561797752,0.26741573033707866,1,0.022751119776648464,0.0638953990378685,0.033037189591953474,0.25,0
